timestamp,cam2,cam4,cam6,angleX,angleY,angleZ
20250222_153058,img/cam2_20250222_153058.jpg,img/cam4_20250222_153058.jpg,img/cam6_20250222_153058.jpg,-0.1,0.09,0.21
20250222_153058,img/cam2_20250222_153058.jpg,img/cam4_20250222_153058.jpg,img/cam6_20250222_153058.jpg,-0.1,0.09,0.25
20250222_153059,img/cam2_20250222_153059.jpg,img/cam4_20250222_153059.jpg,img/cam6_20250222_153059.jpg,-0.11,0.09,0.22
20250222_153059,img/cam2_20250222_153059.jpg,img/cam4_20250222_153059.jpg,img/cam6_20250222_153059.jpg,-0.11,0.1,0.26
20250222_153100,img/cam2_20250222_153100.jpg,img/cam4_20250222_153100.jpg,img/cam6_20250222_153100.jpg,-0.12,0.12,-0.0
20250222_153100,img/cam2_20250222_153100.jpg,img/cam4_20250222_153100.jpg,img/cam6_20250222_153100.jpg,-1.75,0.78,-15.41
20250222_153101,img/cam2_20250222_153101.jpg,img/cam4_20250222_153101.jpg,img/cam6_20250222_153101.jpg,-2.91,1.22,-26.41
20250222_153101,img/cam2_20250222_153101.jpg,img/cam4_20250222_153101.jpg,img/cam6_20250222_153101.jpg,-4.98,1.97,-46.28
20250222_153102,img/cam2_20250222_153102.jpg,img/cam4_20250222_153102.jpg,img/cam6_20250222_153102.jpg,-7.16,2.87,-68.27
20250222_153102,img/cam2_20250222_153102.jpg,img/cam4_20250222_153102.jpg,img/cam6_20250222_153102.jpg,-11.67,4.77,-111.01
20250222_153103,img/cam2_20250222_153103.jpg,img/cam4_20250222_153103.jpg,img/cam6_20250222_153103.jpg,-13.04,6.24,-120.97
20250222_153103,img/cam2_20250222_153103.jpg,img/cam4_20250222_153103.jpg,img/cam6_20250222_153103.jpg,-13.39,7.44,-119.98
20250222_153104,img/cam2_20250222_153104.jpg,img/cam4_20250222_153104.jpg,img/cam6_20250222_153104.jpg,-13.03,8.31,-111.28
20250222_153104,img/cam2_20250222_153104.jpg,img/cam4_20250222_153104.jpg,img/cam6_20250222_153104.jpg,-8.06,7.88,-64.2
20250222_153105,img/cam2_20250222_153105.jpg,img/cam4_20250222_153105.jpg,img/cam6_20250222_153105.jpg,-1.55,6.25,-7.29
20250222_153105,img/cam2_20250222_153105.jpg,img/cam4_20250222_153105.jpg,img/cam6_20250222_153105.jpg,-0.51,5.99,1.86
20250222_153106,img/cam2_20250222_153106.jpg,img/cam4_20250222_153106.jpg,img/cam6_20250222_153106.jpg,0.27,5.91,7.78
20250222_153106,img/cam2_20250222_153106.jpg,img/cam4_20250222_153106.jpg,img/cam6_20250222_153106.jpg,1.09,5.9,17.99
20250222_153107,img/cam2_20250222_153107.jpg,img/cam4_20250222_153107.jpg,img/cam6_20250222_153107.jpg,0.86,5.96,18.22
20250222_153107,img/cam2_20250222_153107.jpg,img/cam4_20250222_153107.jpg,img/cam6_20250222_153107.jpg,0.6,6.05,19.12
20250222_153108,img/cam2_20250222_153108.jpg,img/cam4_20250222_153108.jpg,img/cam6_20250222_153108.jpg,0.8,6.07,24.33
20250222_153108,img/cam2_20250222_153108.jpg,img/cam4_20250222_153108.jpg,img/cam6_20250222_153108.jpg,0.23,6.29,22.64
20250222_153109,img/cam2_20250222_153109.jpg,img/cam4_20250222_153109.jpg,img/cam6_20250222_153109.jpg,-0.73,6.7,18.16
20250222_153109,img/cam2_20250222_153109.jpg,img/cam4_20250222_153109.jpg,img/cam6_20250222_153109.jpg,-1.28,6.59,17.29
20250222_153110,img/cam2_20250222_153110.jpg,img/cam4_20250222_153110.jpg,img/cam6_20250222_153110.jpg,-2.36,6.61,10.61
20250222_153110,img/cam2_20250222_153110.jpg,img/cam4_20250222_153110.jpg,img/cam6_20250222_153110.jpg,-2.58,6.58,9.55
20250222_153111,img/cam2_20250222_153111.jpg,img/cam4_20250222_153111.jpg,img/cam6_20250222_153111.jpg,-2.93,6.5,6.8
20250222_153111,img/cam2_20250222_153111.jpg,img/cam4_20250222_153111.jpg,img/cam6_20250222_153111.jpg,-2.92,6.53,7.07
20250222_153112,img/cam2_20250222_153112.jpg,img/cam4_20250222_153112.jpg,img/cam6_20250222_153112.jpg,-2.99,6.97,7.22
20250222_153112,img/cam2_20250222_153112.jpg,img/cam4_20250222_153112.jpg,img/cam6_20250222_153112.jpg,-3.12,7.07,7.14
20250222_153113,img/cam2_20250222_153113.jpg,img/cam4_20250222_153113.jpg,img/cam6_20250222_153113.jpg,-3.74,7.49,1.74
20250222_153113,img/cam2_20250222_153113.jpg,img/cam4_20250222_153113.jpg,img/cam6_20250222_153113.jpg,-3.68,7.61,1.97
20250222_153114,img/cam2_20250222_153114.jpg,img/cam4_20250222_153114.jpg,img/cam6_20250222_153114.jpg,-3.63,7.76,2.1
20250222_153114,img/cam2_20250222_153114.jpg,img/cam4_20250222_153114.jpg,img/cam6_20250222_153114.jpg,-3.31,7.92,6.5
20250222_153115,img/cam2_20250222_153115.jpg,img/cam4_20250222_153115.jpg,img/cam6_20250222_153115.jpg,-2.72,7.23,15.22
20250222_153115,img/cam2_20250222_153115.jpg,img/cam4_20250222_153115.jpg,img/cam6_20250222_153115.jpg,-2.7,7.17,20.08
20250222_153116,img/cam2_20250222_153116.jpg,img/cam4_20250222_153116.jpg,img/cam6_20250222_153116.jpg,-3.86,7.38,14.45
20250222_153116,img/cam2_20250222_153116.jpg,img/cam4_20250222_153116.jpg,img/cam6_20250222_153116.jpg,-4.77,7.97,7.99
20250222_153117,img/cam2_20250222_153117.jpg,img/cam4_20250222_153117.jpg,img/cam6_20250222_153117.jpg,-4.93,7.9,8.15
20250222_153117,img/cam2_20250222_153117.jpg,img/cam4_20250222_153117.jpg,img/cam6_20250222_153117.jpg,-5.03,7.95,8.19
20250222_153118,img/cam2_20250222_153118.jpg,img/cam4_20250222_153118.jpg,img/cam6_20250222_153118.jpg,-5.32,8.25,6.78
20250222_153118,img/cam2_20250222_153118.jpg,img/cam4_20250222_153118.jpg,img/cam6_20250222_153118.jpg,-5.89,8.62,2.11
20250222_153119,img/cam2_20250222_153119.jpg,img/cam4_20250222_153119.jpg,img/cam6_20250222_153119.jpg,-6.17,8.78,-1.89
20250222_153119,img/cam2_20250222_153119.jpg,img/cam4_20250222_153119.jpg,img/cam6_20250222_153119.jpg,-6.57,8.6,-10.02
20250222_153120,img/cam2_20250222_153120.jpg,img/cam4_20250222_153120.jpg,img/cam6_20250222_153120.jpg,-6.61,9.6,-13.29
20250222_153120,img/cam2_20250222_153120.jpg,img/cam4_20250222_153120.jpg,img/cam6_20250222_153120.jpg,-6.06,9.21,-13.39
20250222_153121,img/cam2_20250222_153121.jpg,img/cam4_20250222_153121.jpg,img/cam6_20250222_153121.jpg,-5.22,9.08,-13.53
20250222_153121,img/cam2_20250222_153121.jpg,img/cam4_20250222_153121.jpg,img/cam6_20250222_153121.jpg,-4.82,9.34,-13.27
20250222_153122,img/cam2_20250222_153122.jpg,img/cam4_20250222_153122.jpg,img/cam6_20250222_153122.jpg,-3.62,9.59,-13.71
20250222_153122,img/cam2_20250222_153122.jpg,img/cam4_20250222_153122.jpg,img/cam6_20250222_153122.jpg,-3.31,10.13,-15.02
20250222_153123,img/cam2_20250222_153123.jpg,img/cam4_20250222_153123.jpg,img/cam6_20250222_153123.jpg,-3.1,10.89,-18.41
20250222_153123,img/cam2_20250222_153123.jpg,img/cam4_20250222_153123.jpg,img/cam6_20250222_153123.jpg,-2.88,11.16,-22.33
20250222_153124,img/cam2_20250222_153124.jpg,img/cam4_20250222_153124.jpg,img/cam6_20250222_153124.jpg,-2.63,11.62,-30.98
20250222_153124,img/cam2_20250222_153124.jpg,img/cam4_20250222_153124.jpg,img/cam6_20250222_153124.jpg,-2.03,12.12,-35.42
20250222_153125,img/cam2_20250222_153125.jpg,img/cam4_20250222_153125.jpg,img/cam6_20250222_153125.jpg,-1.68,14.1,-47.8
20250222_153125,img/cam2_20250222_153125.jpg,img/cam4_20250222_153125.jpg,img/cam6_20250222_153125.jpg,-0.06,15.23,-48.61
20250222_153126,img/cam2_20250222_153126.jpg,img/cam4_20250222_153126.jpg,img/cam6_20250222_153126.jpg,2.72,16.4,-45.13
20250222_153126,img/cam2_20250222_153126.jpg,img/cam4_20250222_153126.jpg,img/cam6_20250222_153126.jpg,3.68,17.12,-40.66
20250222_153127,img/cam2_20250222_153127.jpg,img/cam4_20250222_153127.jpg,img/cam6_20250222_153127.jpg,6.31,17.7,-34.23
20250222_153127,img/cam2_20250222_153127.jpg,img/cam4_20250222_153127.jpg,img/cam6_20250222_153127.jpg,7.55,18.16,-34.21
20250222_153128,img/cam2_20250222_153128.jpg,img/cam4_20250222_153128.jpg,img/cam6_20250222_153128.jpg,9.03,18.76,-29.82
20250222_153128,img/cam2_20250222_153128.jpg,img/cam4_20250222_153128.jpg,img/cam6_20250222_153128.jpg,11.53,17.64,-9.26
20250222_153129,img/cam2_20250222_153129.jpg,img/cam4_20250222_153129.jpg,img/cam6_20250222_153129.jpg,12.28,17.77,-4.69
20250222_153129,img/cam2_20250222_153129.jpg,img/cam4_20250222_153129.jpg,img/cam6_20250222_153129.jpg,12.27,18.33,-4.14
